# Object: Mercury
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
2.59564,0.45593,32.73040,-0.15538
2.61211,0.24706,34.83784,0.16118
2.62639,0.14835,7.83932,-0.03635
2.64088,0.32587,25.24853,-0.00475
2.65640,0.09447,14.05958,0.07112
2.67416,0.41244,26.95477,-0.00407
2.68958,0.23882,16.55413,-0.07469
2.70528,0.30612,14.33138,0.07603
2.72079,0.47489,13.27575,-0.03550
2.74156,0.32875,10.43048,0.05838
2.76641,0.31345,1.33362,-0.00190
2.78251,0.27444,4.47192,-0.02420
2.79980,0.42571,11.81442,0.06353
2.81363,0.44839,5.41789,-0.01863
2.82827,0.43936,1.47388,-0.00310
2.84356,0.36685,5.30685,0.02746
2.85865,0.62424,17.08739,-0.03120
2.87438,0.83524,15.86832,-0.08728
2.88982,0.71381,8.92921,0.03069
2.90464,0.81125,9.52662,0.01028
2.91893,0.64218,11.40616,-0.06109
2.93383,0.90118,21.22025,0.10212
2.94797,0.66464,17.15768,-0.03906
2.96218,0.82145,12.74233,-0.06460
2.97742,0.94764,14.51278,0.08004
2.99120,0.40554,35.51491,0.17219
3.00860,0.59388,18.71171,-0.10474
3.02291,0.75618,11.22334,0.04648
3.04584,0.63671,19.67175,0.10928
3.06283,0.85108,16.53780,-0.08482
3.07627,0.45188,28.78837,0.05199
3.09120,0.71886,21.30021,0.11947
3.10709,0.40417,21.89094,-0.05374
3.12260,0.42876,20.77223,-0.00915
3.13716,1.44677,95.87185,0.53765
3.15149,0.36105,83.95610,-0.22832
3.16704,0.55870,35.95860,0.04756
3.18094,0.26682,47.85440,-0.02531
3.19533,0.17731,16.67857,-0.03682
3.21407,1.16034,63.72007,-0.29444
3.23021,0.19605,64.28063,0.15265
3.24538,0.18025,20.72475,0.04930
3.26112,0.69362,49.25821,-0.05601
3.27793,0.53821,12.47404,-0.02792
3.29238,0.15543,42.95509,0.20602
3.30780,0.62092,49.93710,-0.23949
3.32277,0.12365,46.65506,0.11553
3.33822,0.30815,23.70947,0.12936
3.35496,0.17156,10.09217,-0.05437
3.37018,0.31307,10.50228,0.01398
3.38579,0.27156,3.41845,0.01565
3.40174,0.16918,25.13011,-0.13162
3.41768,0.30752,30.54338,0.13340
3.43221,0.03121,20.78249,-0.10685
3.44667,0.08200,4.72295,0.02397
3.46143,0.09417,1.19992,-0.00381
3.47692,0.06584,2.57393,-0.00411
3.49308,0.04877,2.88554,0.00649
3.50810,0.15890,10.79136,0.01502
3.52155,0.06693,8.54124,0.01217
3.53711,0.06106,0.85479,0.00232
3.56055,0.02055,4.49302,0.01701
3.57744,0.05042,4.24804,-0.01982
3.59264,0.03753,2.43766,0.00857
3.60702,0.11777,6.81934,-0.03089
3.62398,0.12369,0.77445,-0.00258
3.64099,0.03887,6.72642,0.00593
3.65510,0.10071,4.64522,-0.00526
3.66981,0.11697,2.36160,0.01135
3.68569,0.05159,6.42467,-0.02048
3.70288,0.15195,10.38833,0.03144
3.71742,0.03444,9.63714,-0.05211
3.73029,0.14357,8.30843,0.04022
3.74440,0.11514,4.42567,-0.02037
3.75888,0.02942,8.77836,0.03453
3.77348,0.12536,8.61915,-0.04833
3.78923,0.07133,6.74950,0.03312
3.81464,0.06209,3.24619,0.01451
3.84442,0.07892,1.07046,0.00138
3.87076,0.04447,1.83391,0.00949
3.89328,0.03728,1.13624,-0.00634
3.91759,0.01942,0.96802,-0.00401
3.94611,0.13087,6.92091,0.03516
