# Object: Saturn
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
2.50194,2.62229,120.73870,645.35360
2.51867,2.26415,27.67677,-114.55350
2.53825,1.67852,72.16052,159.98500
2.55369,3.34717,104.07210,-490.64770
2.56979,1.26454,202.42420,1968.79800
2.58354,4.84639,321.42070,2495.18900
2.59775,3.22257,126.45490,1014.78900
2.61309,1.94250,97.70794,454.72410
2.62855,3.22607,91.03189,76.85053
2.64334,1.86911,95.43587,25.45207
2.65938,1.28416,51.00205,-504.30330
2.67391,6.20235,382.58160,-2354.76600
2.68744,1.01211,355.67870,2891.23500
2.70234,1.94518,67.77983,655.06100
2.71733,0.83255,76.70304,-146.09610
2.73262,3.49550,146.02560,742.94950
2.75117,3.38556,73.26385,92.95333
2.77100,0.87127,178.65530,-1763.80200
2.78612,4.69405,278.40400,-2237.28100
2.80158,2.58446,89.67981,-654.04970
2.82513,1.48527,70.30050,-492.48610
2.84167,2.45227,67.21547,-583.72630
2.85700,1.33326,84.15427,221.00400
2.87056,0.43695,77.00039,443.05830
2.88562,4.06248,270.90510,1026.37100
2.90033,3.08276,60.30468,583.40580
2.91686,0.53342,221.64780,-2055.60200
2.93022,2.84652,202.01740,-523.57790
2.94452,0.89894,107.01900,-887.88980
2.96283,2.04659,56.51659,300.20130
2.98480,2.05259,30.42002,-245.87560
3.01067,0.82902,104.65540,-720.66810
3.02785,1.31482,75.71886,-350.49080
3.04417,0.51929,57.14751,565.72140
3.05931,1.19086,55.92501,289.42160
3.07482,1.05535,14.84792,-52.52779
3.09063,0.32621,51.03502,-447.77640
3.10681,0.83923,34.65491,-183.56770
3.12351,0.63212,60.46733,-195.49320
3.14103,0.95659,70.13437,694.30080
3.15565,0.35750,64.09566,292.85560
3.17262,1.56015,114.25750,-638.09660
3.18761,0.32803,106.05920,-750.94820
3.20370,1.55164,110.53800,852.43120
3.21791,0.24107,103.06590,-819.76710
3.23208,1.29580,79.35645,-475.16170
3.24672,2.55891,88.89748,369.43340
3.26099,2.02147,37.68164,295.90650
3.27636,0.76792,86.70531,590.58920
3.29188,1.59849,59.70329,-326.84060
3.30649,2.60698,48.97250,-361.11010
3.32956,1.20311,82.93394,-397.07170
3.34685,2.25348,69.32790,-166.13990
3.36299,1.33558,60.16333,70.02965
3.38013,0.99599,23.09584,-225.71530
3.39519,1.33535,32.58887,-247.78180
3.41072,1.02112,32.97945,302.47280
3.42503,0.78074,39.90009,185.57670
3.44052,1.11826,68.54043,-516.39840
3.45565,1.47631,40.71115,-401.79940
3.47112,1.57648,146.95120,-750.03700
3.48626,1.49969,160.94320,1252.16500
3.50084,0.89938,127.63630,584.54100
3.51573,1.20443,101.25650,-974.63300
3.52951,1.12107,54.24274,536.84340
3.54251,1.49592,77.11593,-486.75650
3.55605,0.91460,36.45886,-326.48380
3.57273,0.45334,43.71761,-292.88280
3.58919,0.28542,47.98721,468.24350
3.60430,0.44264,46.25819,-413.16290
3.61895,1.31566,70.54750,433.28450
3.63207,2.41702,254.51240,2403.24600
3.64627,1.49432,278.18470,-1857.92500
3.66011,0.56476,75.49427,123.29000
3.67445,0.59072,49.82467,71.44106
3.68836,0.75154,22.69917,-138.13070
3.70228,0.94048,62.00766,556.84400
3.71705,0.85968,54.59711,224.05310
3.73226,0.88867,3.77491,-35.42213
3.74728,0.95635,49.94172,-433.37340
3.76337,2.78768,122.08560,-1175.54200
3.77919,1.30528,168.21180,-1664.51800
3.79624,1.51028,33.52284,-331.63980
3.81261,1.73255,49.27681,-223.85010
3.83559,2.03070,94.80060,-512.62270
3.85170,3.00634,65.68713,-650.29870
3.86829,1.32324,180.25760,-332.66570
3.88314,2.85863,155.20280,816.82260
3.89767,1.82074,75.87820,649.94180
3.91320,2.89141,77.80811,601.18300
3.92882,3.65722,61.99110,204.48560
3.94461,2.03525,111.97680,1080.19400
3.95930,4.10129,172.21680,1136.60700
3.97300,1.07468,249.68240,-1000.01100
3.98847,0.85500,16.10452,-145.97470
4.00484,5.80204,257.22780,-1598.02600
4.02727,2.93015,125.73890,636.55380
4.05188,5.91053,225.08040,2145.03700
4.06732,3.01987,186.59880,1641.09500
4.08362,0.50884,213.23150,-1236.36700
4.09791,1.46692,104.85700,-1037.86100
4.11315,5.02229,226.02000,-1067.31900
4.12917,1.29947,238.55750,-2171.20800
4.14499,0.37854,88.70271,877.43940
4.15834,2.51287,160.69500,1447.99400
4.17341,1.23148,86.59631,-12.16932
4.18866,1.75810,30.80373,277.79130
4.20636,1.71381,10.28749,30.69912
4.22153,1.94977,19.65412,-103.83640
4.23646,1.02915,63.95232,-492.17680
4.25126,1.09343,8.28105,58.41382
4.26598,1.98501,62.67516,620.26310
4.28096,2.28494,27.65995,132.96950
4.29545,1.23974,63.86581,139.76200
4.31186,0.54085,57.47342,-217.81430
4.32566,2.96935,113.93190,11.48863
4.34827,0.53818,153.92270,1492.70000
4.36439,5.54729,342.36090,2602.24900
4.37959,1.59759,280.47700,1363.05200
4.39368,2.10506,40.70798,375.46400
4.41046,2.33081,22.32957,-52.44170
4.42442,1.31455,69.94094,-683.36700
4.43913,2.29961,73.63542,-260.90880
4.45360,1.42276,60.44011,509.61290
4.46833,2.09580,50.56668,500.59030
4.48357,1.00614,71.63209,396.70140
4.49936,1.67059,47.28951,-181.24070
4.51436,0.42470,91.37584,-418.87170
4.52944,1.13359,68.37212,666.91030
4.54384,1.65609,39.68416,226.52270
4.55869,0.48843,102.04880,-1001.73300
4.57392,0.79981,41.29831,-111.98280
4.58944,1.53953,61.07066,528.62630
4.60411,1.45657,10.33762,101.27290
4.62015,2.79779,94.08131,916.61890
4.63568,1.01786,112.62700,1080.14000
4.65221,1.32341,114.08690,-82.62577
4.66704,2.10425,168.38990,844.63400
4.68372,11.80614,731.04420,-4386.99200
4.70137,8.81344,1289.38800,-11489.57000
4.71713,7.89116,75.67741,64.07710
4.73280,0.90191,523.69000,-5162.45500
4.74770,3.29438,239.12900,-1319.67100
4.76426,0.99647,274.02960,-127.21760
4.77799,3.53659,265.36580,-2399.74400
4.79448,1.99440,117.26410,-448.17280
4.80952,0.46942,84.03339,-275.32030
4.82770,1.15530,30.06165,-7.32354
4.85264,0.18508,79.42606,786.31260
4.86938,0.54176,26.28158,-226.76400
4.88368,0.50747,25.47736,207.97780
4.89743,0.73207,19.82932,191.76930
4.91392,0.62102,25.09814,29.61885
4.93004,1.00596,24.02509,-99.37104
4.94643,0.64922,24.75849,-124.31330
4.96116,0.47559,29.08966,259.19540
4.97569,0.48397,13.51706,-131.06170
4.99031,0.28659,17.46032,-126.24910
5.00770,0.41482,20.85703,177.02620
5.02182,0.29093,21.88505,132.83660
5.04008,0.71306,27.22753,-111.54250
5.06506,0.40385,12.58988,-96.72487
5.09006,0.91443,29.64863,-287.32490
5.10800,0.43994,42.87621,385.06470
5.12269,0.56526,16.58330,-138.44840
5.13640,1.18697,89.65837,-490.33210
5.15117,1.73316,36.03154,-127.11000
5.16712,0.58073,119.09540,1178.76300
5.18236,0.78028,23.13224,-72.55144
5.19723,0.81065,64.46404,-479.57810
5.21197,0.72636,9.24935,89.34822
5.22653,0.43468,27.31596,192.38480
5.24570,0.85822,34.33881,304.59120
5.26138,1.61603,106.97430,905.70000
5.27761,1.33202,47.73362,-187.12110
5.29238,0.85030,126.40350,-816.48070
5.30698,1.32860,136.54870,1334.07300
5.32084,0.54216,92.63181,-834.92120
5.33478,0.46237,22.87054,208.23070
5.35760,0.74571,59.34129,73.82339
5.37262,1.14401,105.96370,-913.25490
5.38795,0.92635,19.24854,-29.85299
5.40257,1.72202,54.02614,347.08820
5.41769,0.71498,63.16864,584.20750
5.43364,0.93521,16.85371,123.94790
5.45038,0.63845,97.29424,-766.02090
5.46573,0.41949,20.82595,147.03030
5.47972,0.40360,7.34270,38.22670
5.49553,0.42492,9.97160,-66.68440
5.51203,0.72435,59.49768,-587.96190
5.52860,0.23184,57.32567,565.90450
5.54265,0.93704,52.51445,-207.23820
5.55729,0.96937,5.48659,-50.52674
5.57238,0.43596,40.86324,238.22910
5.58807,0.37165,32.14819,290.90030
5.60461,1.23509,91.62701,317.59250
5.62034,0.53414,49.80821,-472.20320
5.63524,0.70773,22.04962,-183.03140
5.65253,0.47000,15.04685,71.87882
5.66861,0.77374,26.86656,126.69730
5.68317,0.51115,21.90356,-216.15140
5.69845,0.71145,17.43156,-155.33920
5.71539,0.45170,47.84697,55.83904
5.73190,0.62509,53.23341,523.05520
5.74788,1.28281,47.94699,375.20680
5.76532,0.76298,32.96946,326.22700
5.78202,0.64444,8.14035,79.42021
5.80004,1.21060,46.14047,-286.35860
5.81363,0.87490,30.16191,102.08670
5.82711,0.75281,19.18634,67.18951
5.84130,1.30194,27.09214,-80.63969
5.86547,0.83564,27.92810,-90.55225
5.88286,0.89795,16.42792,-159.57060
5.89820,1.09327,24.75985,-10.86188
5.91340,1.14356,8.24393,81.61013
5.92813,1.17165,25.51993,-49.40612
5.94265,1.39827,17.25635,-154.24790
5.95684,1.46147,12.77485,75.63900
5.97103,2.13121,47.15767,359.19530
5.98663,1.40092,81.18563,440.24560
6.00099,1.02094,27.16582,72.90854
6.01769,0.92937,18.94699,-84.14331
6.03393,2.27681,120.35840,-872.88310
6.04928,1.03122,78.31423,-261.48930
6.06702,0.90067,24.05538,-236.19510
6.08247,1.62418,88.53935,740.44040
6.09562,1.21502,32.84301,1.68897
6.10959,2.52017,68.22454,-670.74180
6.13094,1.11615,66.48017,-580.31210
6.15588,0.82351,19.07466,25.28873
6.17165,2.44300,125.06700,-540.40030
6.18807,2.64809,48.22258,-182.43820
6.20356,2.52962,14.53851,120.38230
6.21748,1.45912,73.09857,640.78940
6.23259,0.82123,71.93941,-345.63280
6.24784,2.64490,171.06250,-1353.11000
6.26289,1.55061,75.62674,-98.27385
6.28034,0.69044,88.13907,-272.90550
6.29427,2.99186,212.48110,506.95110
6.30897,0.54129,205.50220,846.25790
6.32349,0.51996,1.82903,-17.33751
6.33832,4.43462,287.48130,-2444.79900
6.35417,2.95013,67.66795,-421.36800
6.37772,6.95365,268.49980,2472.43900
6.39427,3.12109,243.50890,2055.46100
6.41073,3.93814,72.13017,606.64130
6.42576,0.28880,284.02240,-2439.35700
6.43982,6.24107,398.35640,925.62290
6.45581,2.21905,247.74060,1433.35800
6.47213,3.49882,80.72200,-585.09470
6.49134,2.02011,92.84728,-887.23940
6.50794,4.23605,162.97990,-1204.73600
6.52232,3.51526,83.44003,-697.61720
6.53768,1.62960,117.31770,-896.40690
6.55385,2.97774,90.58439,-894.27580
6.57000,1.32718,111.72540,-694.72770
6.58559,2.64119,98.80875,-688.78150
6.60129,2.18774,42.32366,-418.99710
6.61815,0.95284,80.68955,-217.22990
6.63359,1.94096,73.93477,458.37170
6.64842,1.66229,20.16566,170.02280
6.66284,0.50527,80.64137,-792.95470
6.67744,1.10669,81.61917,-460.76300
6.69556,1.43280,180.13340,-466.76310
6.70911,2.53289,81.16862,617.67140
6.72333,0.48502,148.05460,216.40790
6.73848,0.80604,61.05355,-317.44690
6.75499,1.35870,134.96130,-1319.16100
6.77049,1.51671,15.61378,-134.54220
6.78606,0.90699,146.46350,56.79675
6.80185,2.96786,247.48610,92.29847
6.81726,1.11754,267.25350,2644.13400
6.83219,3.46446,325.33680,1556.50000
6.84605,1.75660,125.75730,-626.51540
6.86093,0.90339,95.97321,-123.11620
6.88347,3.58591,209.97500,-779.10020
6.90177,2.58830,125.62060,91.78547
6.91794,2.81244,66.35880,176.89880
6.93366,1.57832,100.01400,-773.00080
6.94853,2.66344,71.58407,394.33680
6.96592,1.39955,81.37953,658.51780
6.98299,2.72333,86.01200,848.73450
6.99938,2.05568,50.80157,-90.06537
7.01745,0.91547,68.07111,118.55790
7.03425,1.20261,16.05465,-94.61788
7.05218,1.07249,25.87155,161.77000
7.06742,0.50730,38.78355,338.82160
7.08500,0.57408,9.57364,-45.84948
7.10527,0.20615,20.93557,0.48765
7.12361,0.41437,14.55816,126.47400
7.14046,0.26625,11.08441,-55.67145
7.15544,0.28584,5.12749,-36.37933
7.17155,0.14081,9.94624,16.43602
7.19478,0.31357,6.41944,-29.05490
