# Object: Mars
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
2.70960,1.77591,54.44932,0.41677
2.72510,0.93326,62.38393,0.63801
2.74064,0.88871,11.25965,-0.07449
2.75552,0.80911,13.19375,0.00350
2.77392,1.03386,16.23993,-0.17652
2.78850,0.84138,26.33020,0.08739
2.80367,0.71653,8.20898,0.09055
2.81981,1.01831,24.15001,0.02992
2.83469,2.38760,87.86292,0.29629
2.85065,0.63497,146.68380,-1.45955
2.86515,0.69065,22.26437,-0.05413
2.88165,0.72356,10.43107,0.04962
2.89838,1.34058,56.79863,0.58651
2.91301,0.75512,65.77464,0.38177
2.92972,2.09631,101.81640,1.09152
2.94657,1.03686,75.54005,-0.41695
2.96122,1.46180,47.44321,-0.51738
2.97604,0.96737,93.01644,0.55105
2.99065,0.76933,34.79822,0.27444
3.01447,2.03868,73.04076,0.76967
3.03189,1.10110,64.07622,0.53352
3.04740,0.75729,19.94727,0.14814
3.06720,1.04385,28.03083,0.31432
3.08317,1.98882,75.78680,0.84404
3.09929,1.23315,73.64424,-0.17643
3.11354,1.02097,40.64021,-0.15689
3.12714,1.12200,38.48743,0.40140
3.14201,0.95670,18.14510,0.01143
3.15663,0.92734,9.53832,-0.09536
3.17102,1.21709,29.17154,-0.11251
3.18683,1.11380,12.59424,0.07552
3.20256,1.02687,11.71859,0.12138
3.21776,0.75072,16.21163,0.13272
3.23485,1.52361,49.12130,0.47587
3.25297,1.52294,120.20970,-0.59518
3.27138,0.76207,51.07347,-0.17513
3.28875,1.87691,99.80418,0.57781
3.30376,0.92887,64.40356,0.71191
3.31938,1.70366,60.98455,0.57994
3.33513,0.92150,115.19640,-0.59244
3.35036,1.59772,109.53790,-1.21928
3.36547,0.52254,93.95226,0.48333
3.38636,1.36086,69.65201,0.48183
3.41156,3.81197,150.42980,0.75427
3.42904,1.00001,177.04280,1.49743
3.44565,0.53849,74.33100,0.31824
3.46100,2.07942,116.29360,1.21683
3.47890,3.21223,73.95421,-0.53761
3.49651,1.59171,71.02628,-0.47174
3.52342,1.08126,30.44006,0.04501
3.54147,2.30074,79.46156,0.12443
3.55726,1.21117,73.87753,-0.79840
3.57216,3.09937,126.89530,-1.42066
3.58725,1.40054,115.39800,-0.75420
3.60249,0.79417,42.63140,0.37775
3.61787,2.27884,101.50160,1.13760
3.63289,1.48523,53.66169,0.48466
3.64848,2.77059,87.63470,0.58893
3.66362,2.25942,31.98815,-0.10923
3.68296,1.85027,31.10760,-0.18119
3.69939,1.54255,21.54748,0.03506
3.71491,2.15262,44.25121,0.38608
3.72985,2.06988,12.16929,0.12111
3.74432,0.98156,69.93661,0.21141
3.76038,2.10917,75.30291,0.44682
3.77666,1.33824,48.83482,0.10458
3.79283,2.07769,50.13351,-0.27235
3.80789,2.66286,71.57188,-0.51446
3.82321,0.94469,112.57920,-1.26169
