# Object: Jupiter
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
2.53387,0.93430,10.37790,-279.55100
2.54874,1.23038,17.92980,-514.36930
2.56567,0.85054,23.81656,-216.06300
2.58200,0.80603,2.59932,-8.03733
2.59923,1.23996,26.65485,-91.63927
2.61603,0.88910,24.74898,740.87620
2.63166,0.90433,5.05453,92.88926
2.64701,0.90244,4.31243,-102.28770
2.66240,1.33367,27.60902,-910.92400
2.67803,0.73427,32.50035,-670.61880
2.69694,1.37070,42.02393,-1364.48200
2.71214,0.83618,33.13946,-784.25150
2.72875,0.94751,8.47968,246.30410
2.74341,0.88484,9.15095,231.55720
2.75910,1.40880,37.20889,-567.96350
2.77389,0.79296,35.40475,-538.99650
2.79141,1.11762,14.27686,-373.04980
2.81626,0.87679,20.61761,-615.65280
2.83210,0.91235,7.18206,86.11050
2.84733,1.00241,7.63790,89.39675
2.86118,0.86800,8.46334,-164.33790
2.87718,0.97070,11.15874,-145.13080
2.89149,1.13997,9.84906,-320.63530
2.90977,1.21057,18.56836,-608.29320
2.92698,0.95950,11.66788,371.46610
2.94869,0.79359,8.96913,286.45450
2.97494,1.17120,21.32767,421.46330
2.99273,0.87960,22.51918,728.12230
3.00852,1.26153,23.24021,710.88840
3.02503,0.80968,26.66824,716.27460
3.04219,0.85980,3.67428,7.21168
3.05834,1.32344,30.02178,-596.61770
3.07408,0.88348,28.67605,-916.66420
3.08980,0.94705,4.49075,77.64552
3.10447,1.17424,14.98221,-45.23891
3.12221,0.76996,22.48410,-312.29750
3.14025,0.94036,12.52578,404.86130
3.15502,1.39079,30.89286,532.41770
3.17000,0.86022,33.04567,-370.56490
3.18614,1.00031,11.96178,-156.07350
3.20003,0.96566,4.07253,133.95240
3.21441,0.93244,2.94350,-22.06842
3.22931,0.92704,3.52953,-110.53530
3.24429,1.31504,24.64460,-467.18470
3.26013,0.80746,29.91960,-391.41210
3.27733,0.87930,5.47945,119.10200
3.29313,1.23300,15.77045,215.52510
3.31566,0.69480,27.41074,806.77230
3.33565,1.34102,41.87580,1284.91100
3.35118,0.79997,33.09907,970.98210
3.36854,0.88279,5.80202,-13.84605
3.38428,1.41421,46.46248,-1524.83400
3.39901,0.87169,39.09159,-770.73690
3.41494,0.85345,6.44910,36.40187
3.43122,0.90693,3.56140,117.41010
3.44653,0.95408,23.47571,-313.38310
3.46109,1.31803,23.46048,-682.36050
3.47689,0.82432,30.27651,-997.47420
3.49374,0.86991,3.75027,-71.24458
3.50971,1.33591,30.50565,192.05690
3.52530,0.77960,31.25416,-5.25916
3.54312,1.28646,31.63033,401.43920
3.55931,0.86527,26.75713,862.07600
3.57537,0.90216,3.22858,41.39129
3.59076,0.90340,0.48081,-13.39431
3.60613,0.95141,6.58201,-47.68142
3.62073,1.32616,24.05228,385.16810
3.63644,0.79228,32.11029,504.64690
3.65397,0.92300,9.01057,254.39440
3.66902,1.32287,26.11916,275.40010
3.68477,0.87203,28.41525,-614.79600
3.70070,0.91761,5.75346,-144.63410
3.71583,0.91144,5.65072,109.41920
3.73107,1.21418,17.96196,217.69350
3.74823,0.85094,23.37731,706.27670
3.76455,1.27624,26.30211,863.45570
3.78087,0.81064,27.89297,910.57900
3.79801,1.10598,12.25955,371.72610
3.82312,0.77155,18.58259,610.89030
3.84113,0.93488,13.45647,-114.94470
3.85598,0.93084,8.82043,-268.81340
3.87090,1.34484,27.70893,-271.28930
3.88639,0.85087,30.36544,461.42100
3.90272,0.90725,8.86128,274.26700
3.91803,1.26296,24.38035,685.69700
3.93452,0.73200,28.01167,850.80120
3.95349,1.35715,46.23083,1284.66700
3.96885,0.75904,32.97206,1086.28300
3.98714,0.90210,15.99662,65.27604
4.00254,1.32360,27.81584,-505.73670
4.01828,0.90496,33.10177,-991.28080
4.03363,0.92307,16.34117,250.27040
4.04867,0.94550,7.52891,178.84170
4.06336,0.98027,18.67069,-606.78440
4.07753,0.94985,3.60079,18.24588
4.09216,1.32502,25.62027,648.04640
