# Object: Earth
# Columns: time(s), |V(t)|(m/s), |A(t)|(m/s^2), O(t)
time,V,A,O
2.44831,0.72736,40.47058,3.06592
2.46448,0.97649,31.42566,2.86358
2.48133,2.00312,55.42624,-4.92342
2.49993,1.03691,40.70189,-3.80856
2.52699,1.73953,70.59914,-1.70716
2.54432,2.17773,209.90120,11.79953
2.56119,1.94323,217.47270,22.30158
2.57821,2.26275,106.11280,9.21222
2.59356,2.09691,154.77310,-12.09321
2.60721,2.15514,18.08658,-1.90344
2.62205,1.86212,219.90930,-13.21938
2.63703,1.12541,73.12199,0.84632
2.65302,1.01611,51.41444,-2.97168
2.67107,1.22392,68.21983,4.69767
2.68616,1.11181,67.01521,4.14118
2.70324,2.19784,70.04757,1.89167
2.71955,1.28484,64.09148,6.23847
2.73400,1.09243,41.73626,0.28924
2.74950,0.99953,26.53759,-1.32991
2.76588,1.37500,57.28348,-5.93634
2.78082,2.07247,171.23920,-10.29509
2.79578,0.81372,155.60350,12.10997
2.81126,2.62952,186.63670,8.73524
2.82730,0.81292,209.78040,3.76377
2.84128,0.76006,74.64793,-6.89783
2.85572,0.70516,60.79453,5.79142
2.87033,2.42721,174.67970,18.39051
2.88537,1.40046,72.44625,6.05877
2.90119,0.80297,39.09743,0.33726
2.91752,0.15883,27.51956,-0.95139
2.94202,0.74881,29.20297,1.70758
2.96714,1.15537,22.63286,-1.13533
2.98550,0.92576,14.61643,-0.99994
3.00306,0.81898,18.21031,-1.38733
3.02939,1.10609,46.75296,-4.54146
3.04686,0.82835,32.77664,1.28411
3.06215,1.65957,50.23361,0.83916
3.07874,1.01376,52.39145,4.18561
3.09297,0.94959,9.42661,-0.92023
3.10740,1.82583,89.58926,-9.45892
3.12307,1.32224,33.28716,-3.03938
3.14043,1.43666,10.68732,-1.08951
3.15662,1.25468,25.06886,-2.40827
3.17247,1.39960,33.78258,1.99570
3.18676,1.62397,142.42090,5.98150
3.20032,1.34305,142.86250,-2.21107
3.21624,2.31713,53.24022,5.26509
3.23461,1.91552,77.00795,1.11455
3.25206,1.32801,88.98904,-0.74940
3.26902,1.69339,70.97078,-3.96915
3.28591,2.92354,63.57089,3.92291
3.30526,1.80586,72.38857,7.64053
3.32269,1.53839,34.08214,3.56493
3.33926,3.07233,92.72486,-8.32889
3.35895,1.73715,139.45140,-14.03593
3.37486,2.25954,136.41040,0.67892
3.39232,1.55556,83.74939,-0.29518
3.40862,2.83008,72.21782,7.28193
3.42644,1.45545,79.79137,5.56103
3.44368,1.83310,63.41317,5.88627
3.45937,1.86742,113.56400,9.67175
3.47403,1.97397,139.25020,-1.29435
3.48874,1.50407,65.92482,-5.78427
3.50404,2.08780,46.23985,-4.87554
3.52726,1.40317,55.84604,-4.44468
3.54471,1.39405,16.38099,-0.73570
3.56185,1.07661,46.98496,-4.52123
3.57792,1.43526,68.85596,-0.28734
3.59188,2.52204,168.53760,15.04604
3.60622,0.99716,104.25290,3.95259
3.62096,3.46879,271.28040,-1.50085
3.63563,0.68078,207.24460,-12.78935
3.64990,1.02619,41.23885,4.24719
3.66432,0.58244,31.17480,-2.09185
3.67874,0.59662,9.11944,0.55354
3.69230,0.57108,8.13154,0.35789
3.70730,0.13506,31.22563,-3.17514
3.72318,0.25161,12.48828,1.16145
3.73854,0.62171,25.90832,0.41206
3.75370,0.36096,17.49091,-1.61585
3.77048,0.96827,35.80969,-3.38991
3.78761,0.55800,31.67941,3.26083
3.80080,0.70222,11.43484,-0.23846
3.81569,0.44026,18.19860,-1.67212
3.83128,0.70479,18.64080,1.12034
3.84663,0.51153,15.89196,1.22264
3.86230,0.38637,13.58775,-1.32721
3.87671,0.92714,43.79093,4.38863
3.89064,0.25965,54.74599,-2.51627
3.90603,0.70886,43.37193,-2.80038
3.92085,1.04824,31.21408,2.68541
3.93573,0.25949,70.49563,0.44114
3.95144,2.64894,166.35310,10.80998
