# Object: Jupiter
# Columns: time(s), |A(t)|(m/s^2), frequency(Hz), A1, A2, A3
time,acceleration,frequency,A1,A2,A3
2.77179,23.89890,180.00000,1.00000,1.00000,1.00000
2.79646,73.37725,180.00000,1.00000,1.00000,1.00000
2.82256,40.40167,180.00000,1.00000,1.00000,1.00000
2.84692,17.90671,180.00000,1.00000,1.00000,1.00000
2.88665,28.41622,180.00000,1.00000,1.00000,1.00000
2.91328,38.16559,180.00000,1.00000,1.00000,1.00000
2.93732,60.98468,180.00000,1.00000,1.00000,1.00000
2.95987,28.36895,180.00000,1.00000,1.00000,1.00000
2.98252,32.63942,180.00000,1.00000,1.00000,1.00000
3.00733,59.97977,180.00000,1.00000,1.00000,1.00000
3.03134,31.24242,180.00000,1.00000,1.00000,1.00000
3.05739,4.06806,165.08900,0.81361,0.81361,0.81361
3.08062,16.17504,180.00000,1.00000,1.00000,1.00000
3.10480,11.84523,180.00000,1.00000,1.00000,1.00000
3.12800,2.80160,144.82560,0.56032,0.56032,0.56032
3.15343,3.60511,157.68170,0.72102,0.72102,0.72102
3.17635,4.08646,165.38330,0.81729,0.81729,0.81729
3.20686,0.68126,110.90020,0.13625,0.13625,0.13625
3.23535,2.15566,134.49050,0.43113,0.43113,0.43113
3.25963,2.74822,143.97150,0.54964,0.54964,0.54964
3.28402,3.95082,163.21320,0.79016,0.79016,0.79016
3.30635,2.12835,134.05360,0.42567,0.42567,0.42567
3.32827,0.93250,114.91990,0.18650,0.18650,0.18650
3.35213,0.31535,105.04550,0.06307,0.06307,0.06307
3.38811,1.87247,129.95950,0.37449,0.37449,0.37449
3.41401,0.52190,108.35050,0.10438,0.10438,0.10438
3.44079,2.17763,134.84210,0.43553,0.43553,0.43553
3.46422,1.34881,121.58100,0.26976,0.26976,0.26976
3.48818,0.74998,111.99970,0.15000,0.15000,0.15000
3.51208,2.76428,144.22840,0.55286,0.55286,0.55286
3.53642,2.95967,147.35460,0.59193,0.59193,0.59193
