Time, SinWave, TriWave, SquareWave, TotalAmplitude
17.178,-0.122,-0.116,-0.661,-0.090
17.198,-0.249,-0.252,-0.661,-0.116
17.223,0.323,0.351,0.661,0.134
17.253,-0.291,-0.305,-0.661,-0.126
17.274,0.314,0.337,0.661,0.131
17.294,-0.106,-0.101,-0.661,-0.087
17.315,-0.276,-0.285,-0.661,-0.122
17.336,-0.037,-0.035,-0.661,-0.073
17.357,0.354,0.405,0.661,0.142
17.378,-0.014,-0.013,-0.661,-0.069
17.408,0.259,0.263,0.661,0.118
17.432,-0.394,-0.513,-0.661,-0.157
17.456,0.349,0.395,0.661,0.140
17.479,0.398,0.533,0.661,0.159
17.503,0.073,0.069,0.661,0.080
17.523,0.384,0.478,0.661,0.152
17.560,-0.392,-0.503,-0.661,-0.156
17.593,-0.394,-0.514,-0.661,-0.157
17.616,-0.262,-0.267,-0.661,-0.119
17.639,0.098,0.093,0.661,0.085
17.660,-0.285,-0.296,-0.661,-0.124
17.681,-0.126,-0.120,-0.661,-0.091
17.705,-0.307,-0.327,-0.661,-0.129
17.725,-0.068,-0.064,-0.661,-0.079
17.754,-0.375,-0.452,-0.661,-0.149
17.779,0.402,0.563,0.661,0.163
17.806,0.160,0.154,0.661,0.098
17.828,0.284,0.295,0.661,0.124
17.852,0.371,0.441,0.661,0.147
17.872,-0.186,-0.181,-0.661,-0.103
17.893,-0.390,-0.498,-0.661,-0.155
17.924,0.403,0.583,0.661,0.165
17.947,0.116,0.110,0.661,0.089
17.971,-0.382,-0.472,-0.661,-0.152
17.997,-0.070,-0.066,-0.661,-0.080
18.027,-0.387,-0.485,-0.661,-0.153
18.063,0.399,0.538,0.661,0.160
18.096,0.374,0.448,0.661,0.148
18.119,0.352,0.402,0.661,0.141
18.140,0.368,0.434,0.661,0.146
18.161,-0.235,-0.235,-0.661,-0.113
18.181,-0.283,-0.294,-0.661,-0.124
18.204,-0.389,-0.492,-0.661,-0.154
18.225,-0.123,-0.118,-0.661,-0.090
18.255,-0.320,-0.347,-0.661,-0.133
18.278,-0.016,-0.015,-0.661,-0.069
18.299,-0.403,-0.582,-0.661,-0.165
18.320,-0.318,-0.343,-0.661,-0.132
18.343,-0.386,-0.482,-0.661,-0.153
18.363,0.347,0.392,0.661,0.140
18.385,0.298,0.314,0.661,0.127
18.415,-0.398,-0.536,-0.661,-0.160
18.437,-0.369,-0.436,-0.661,-0.147
18.458,0.200,0.196,0.661,0.106
18.480,0.300,0.317,0.661,0.128
18.502,0.347,0.392,0.661,0.140
18.523,0.256,0.260,0.661,0.118
18.544,-0.305,-0.324,-0.661,-0.129
18.584,0.132,0.126,0.661,0.092
18.607,0.380,0.466,0.661,0.151
18.630,0.125,0.119,0.661,0.091
18.651,0.403,0.588,0.661,0.165
18.673,0.269,0.276,0.661,0.121
18.695,0.154,0.148,0.661,0.096
18.728,0.003,0.003,0.661,0.067
18.752,0.267,0.273,0.661,0.120
18.774,0.397,0.528,0.661,0.159
18.796,0.337,0.374,0.661,0.137
18.818,0.401,0.553,0.661,0.161
18.838,-0.385,-0.480,-0.661,-0.153
18.861,0.125,0.119,0.661,0.091
18.892,-0.105,-0.100,-0.661,-0.087
18.914,-0.017,-0.016,-0.661,-0.069
18.936,-0.138,-0.132,-0.661,-0.093
18.957,0.398,0.532,0.661,0.159
18.979,0.392,0.506,0.661,0.156
18.999,-0.279,-0.288,-0.661,-0.123
19.018,0.401,0.554,0.661,0.162
19.046,0.385,0.480,0.661,0.153
19.087,-0.233,-0.233,-0.661,-0.113
19.118,0.368,0.434,0.661,0.146
19.141,0.334,0.369,0.661,0.136
19.163,0.316,0.341,0.661,0.132
19.185,0.392,0.506,0.661,0.156
19.215,-0.282,-0.293,-0.661,-0.124
19.237,-0.403,-0.577,-0.661,-0.164
19.258,0.233,0.232,0.661,0.113
19.277,-0.330,-0.362,-0.661,-0.135
19.299,-0.389,-0.494,-0.661,-0.154
19.320,-0.142,-0.136,-0.661,-0.094
19.341,0.358,0.412,0.661,0.143
19.371,-0.389,-0.494,-0.661,-0.154
19.393,-0.382,-0.469,-0.661,-0.151
19.412,0.351,0.400,0.661,0.141
19.432,-0.402,-0.573,-0.661,-0.164
19.454,-0.367,-0.432,-0.661,-0.146
19.474,0.320,0.346,0.661,0.133
19.497,0.057,0.053,0.661,0.077
19.527,-0.352,-0.401,-0.661,-0.141
19.548,-0.395,-0.517,-0.661,-0.157
19.584,0.337,0.373,0.661,0.137
19.605,-0.098,-0.093,-0.661,-0.085
19.628,-0.083,-0.078,-0.661,-0.082
19.647,-0.101,-0.096,-0.661,-0.086
19.677,-0.395,-0.517,-0.661,-0.157
19.699,-0.358,-0.413,-0.661,-0.143
19.720,-0.353,-0.403,-0.661,-0.142
19.742,0.002,0.002,0.661,0.067
19.764,-0.004,-0.004,-0.661,-0.067
19.784,0.258,0.263,0.661,0.118
19.805,-0.281,-0.291,-0.661,-0.123
19.835,0.401,0.558,0.661,0.162
19.858,-0.021,-0.019,-0.661,-0.070
19.879,0.403,0.577,0.661,0.164
19.900,0.089,0.084,0.661,0.083
19.920,-0.025,-0.023,-0.661,-0.071
19.940,0.402,0.562,0.661,0.162
19.960,-0.403,-0.578,-0.661,-0.164
19.989,0.012,0.011,0.661,0.068
20.011,0.163,0.157,0.661,0.098
20.033,-0.087,-0.082,-0.661,-0.083
20.056,0.078,0.074,0.661,0.081
20.090,0.400,0.545,0.661,0.161
20.112,0.369,0.437,0.661,0.147
20.147,-0.011,-0.010,-0.661,-0.068
20.177,-0.177,-0.172,-0.661,-0.101
20.200,-0.181,-0.175,-0.661,-0.102
20.220,-0.106,-0.101,-0.661,-0.087
20.241,0.385,0.479,0.661,0.153
20.261,-0.141,-0.135,-0.661,-0.094
20.281,0.003,0.002,0.661,0.067
20.311,-0.020,-0.019,-0.661,-0.070
20.332,-0.366,-0.431,-0.661,-0.146
20.352,0.376,0.455,0.661,0.149
20.372,-0.213,-0.211,-0.661,-0.108
20.393,-0.376,-0.453,-0.661,-0.149
20.417,0.033,0.031,0.661,0.072
20.436,-0.145,-0.139,-0.661,-0.095
20.463,0.296,0.312,0.661,0.127
20.489,0.229,0.228,0.661,0.112
20.512,0.375,0.452,0.661,0.149
20.534,0.190,0.185,0.661,0.104
20.554,-0.403,-0.580,-0.661,-0.164
20.574,0.308,0.328,0.661,0.130
20.610,-0.373,-0.445,-0.661,-0.148
20.642,-0.100,-0.095,-0.661,-0.086
20.665,-0.290,-0.303,-0.661,-0.125
20.685,0.369,0.438,0.661,0.147
20.705,-0.361,-0.418,-0.661,-0.144
20.725,-0.022,-0.021,-0.661,-0.070
20.744,-0.010,-0.010,-0.661,-0.068
20.765,-0.349,-0.395,-0.661,-0.140
20.792,0.010,0.009,0.661,0.068
20.811,-0.203,-0.200,-0.661,-0.106
20.831,-0.203,-0.200,-0.661,-0.106
20.853,-0.197,-0.193,-0.661,-0.105
20.873,0.193,0.189,0.661,0.104
20.893,-0.365,-0.427,-0.661,-0.145
20.914,-0.183,-0.178,-0.661,-0.102
20.933,0.059,0.056,0.661,0.078
20.963,0.402,0.572,0.661,0.164
20.984,0.353,0.403,0.661,0.142
21.006,0.019,0.018,0.661,0.070
21.025,0.043,0.041,0.661,0.074
21.045,0.343,0.384,0.661,0.139
21.066,-0.332,-0.365,-0.661,-0.136
21.085,0.400,0.548,0.661,0.161
21.125,-0.137,-0.131,-0.661,-0.093
21.146,0.396,0.522,0.661,0.158
21.167,-0.070,-0.066,-0.661,-0.080
21.196,0.392,0.503,0.661,0.156
21.226,-0.233,-0.233,-0.661,-0.113
21.253,0.118,0.113,0.661,0.089
21.290,0.403,0.590,0.661,0.165
21.323,0.341,0.381,0.661,0.138
21.345,0.302,0.320,0.661,0.128
21.365,-0.399,-0.539,-0.661,-0.160
21.387,-0.331,-0.364,-0.661,-0.136
21.407,0.402,0.570,0.661,0.163
21.435,0.402,0.567,0.661,0.163
21.455,-0.063,-0.059,-0.661,-0.078
21.477,-0.223,-0.222,-0.661,-0.111
21.497,0.064,0.060,0.661,0.078
21.517,0.081,0.076,0.661,0.082
21.537,-0.402,-0.571,-0.661,-0.163
21.558,0.241,0.242,0.661,0.114
21.584,0.302,0.320,0.661,0.128
21.603,-0.186,-0.181,-0.661,-0.103
21.635,0.403,0.591,0.661,0.166
21.655,-0.099,-0.093,-0.661,-0.085
21.677,-0.378,-0.460,-0.661,-0.150
21.699,-0.221,-0.219,-0.661,-0.110
21.721,-0.384,-0.476,-0.661,-0.152
21.750,-0.124,-0.118,-0.661,-0.090
21.772,-0.130,-0.124,-0.661,-0.092
21.793,-0.382,-0.471,-0.661,-0.151
21.815,-0.287,-0.299,-0.661,-0.125
21.835,0.394,0.511,0.661,0.157
21.855,-0.342,-0.383,-0.661,-0.139
21.876,-0.264,-0.270,-0.661,-0.120
21.902,0.138,0.132,0.661,0.093
21.925,-0.102,-0.096,-0.661,-0.086
21.946,0.335,0.371,0.661,0.137
21.967,0.156,0.150,0.661,0.097
21.987,-0.383,-0.473,-0.661,-0.152
22.007,0.336,0.373,0.661,0.137
22.027,-0.168,-0.163,-0.661,-0.099
22.057,0.363,0.423,0.661,0.145
22.078,0.266,0.272,0.661,0.120
22.100,0.022,0.021,0.661,0.070
22.126,-0.364,-0.426,-0.661,-0.145
22.169,-0.016,-0.015,-0.661,-0.069
22.192,-0.260,-0.265,-0.661,-0.119
22.221,-0.389,-0.493,-0.661,-0.154
22.242,-0.077,-0.072,-0.661,-0.081
22.263,0.271,0.278,0.661,0.121
22.283,-0.020,-0.019,-0.661,-0.070
22.303,-0.074,-0.070,-0.661,-0.081
22.323,0.325,0.354,0.661,0.134
22.346,0.361,0.419,0.661,0.144
22.375,0.187,0.182,0.661,0.103
22.395,0.041,0.039,0.661,0.074
22.415,-0.401,-0.552,-0.661,-0.161
22.437,-0.376,-0.454,-0.661,-0.149
22.458,0.310,0.332,0.661,0.130
22.478,0.168,0.162,0.661,0.099
22.498,-0.395,-0.518,-0.661,-0.157
22.528,0.130,0.124,0.661,0.091
22.550,0.195,0.190,0.661,0.105
22.571,-0.402,-0.570,-0.661,-0.163
22.591,0.107,0.101,0.661,0.087
22.614,0.100,0.095,0.661,0.086
22.634,0.114,0.109,0.661,0.088
22.669,0.195,0.191,0.661,0.105
22.698,-0.360,-0.417,-0.661,-0.144
22.722,-0.280,-0.290,-0.661,-0.123
22.742,-0.030,-0.028,-0.661,-0.072
22.764,0.137,0.131,0.661,0.093
22.785,0.400,0.549,0.661,0.161
22.806,0.108,0.103,0.661,0.087
22.827,-0.394,-0.511,-0.661,-0.157
22.854,-0.381,-0.467,-0.661,-0.151
22.876,-0.403,-0.582,-0.661,-0.165
22.897,0.262,0.267,0.661,0.119
22.917,0.211,0.208,0.661,0.108
22.939,-0.173,-0.168,-0.661,-0.100
22.965,-0.372,-0.444,-0.661,-0.148
22.994,-0.271,-0.278,-0.661,-0.121
23.023,0.215,0.212,0.661,0.109
23.043,-0.360,-0.416,-0.661,-0.144
23.062,0.354,0.405,0.661,0.142
23.082,-0.399,-0.539,-0.661,-0.160
23.101,0.382,0.472,0.661,0.152
23.123,0.310,0.331,0.661,0.130
23.144,-0.332,-0.366,-0.661,-0.136
23.175,0.008,0.008,0.661,0.068
23.206,0.212,0.209,0.661,0.108
23.228,-0.056,-0.053,-0.661,-0.077
23.249,-0.372,-0.443,-0.661,-0.148
23.270,-0.354,-0.405,-0.661,-0.142
23.291,0.333,0.367,0.661,0.136
23.310,-0.403,-0.579,-0.661,-0.164
23.330,0.318,0.344,0.661,0.132
23.359,-0.388,-0.488,-0.661,-0.154
23.379,0.403,0.579,0.661,0.164
23.401,0.325,0.353,0.661,0.134
23.420,-0.053,-0.049,-0.661,-0.076
23.439,-0.159,-0.153,-0.661,-0.097
23.458,0.063,0.060,0.661,0.078
23.478,-0.065,-0.061,-0.661,-0.079
23.497,0.014,0.013,0.661,0.069
23.526,-0.394,-0.512,-0.661,-0.157
23.545,0.370,0.439,0.661,0.147
23.564,-0.227,-0.226,-0.661,-0.111
23.584,0.235,0.235,0.661,0.113
23.605,-0.252,-0.255,-0.661,-0.117
23.625,0.130,0.124,0.661,0.092
23.645,0.322,0.350,0.661,0.133
23.679,0.403,0.587,0.661,0.165
23.710,-0.398,-0.535,-0.661,-0.159
23.731,0.009,0.009,0.661,0.068
23.753,0.042,0.039,0.661,0.074
23.772,-0.046,-0.043,-0.661,-0.075
23.799,-0.255,-0.259,-0.661,-0.117
23.829,0.356,0.409,0.661,0.143
23.853,0.089,0.084,0.661,0.083
23.881,-0.230,-0.230,-0.661,-0.112
23.902,0.368,0.434,0.661,0.146
23.922,-0.013,-0.012,-0.661,-0.069
23.944,-0.236,-0.236,-0.661,-0.113
23.963,0.349,0.396,0.661,0.141
23.985,0.390,0.499,0.661,0.155
24.004,-0.403,-0.580,-0.661,-0.164
24.035,0.369,0.436,0.661,0.147
24.056,0.251,0.254,0.661,0.117
24.077,-0.374,-0.450,-0.661,-0.149
24.098,-0.263,-0.268,-0.661,-0.119
24.117,0.194,0.190,0.661,0.105
24.137,-0.355,-0.407,-0.661,-0.142
24.155,-0.072,-0.068,-0.661,-0.080
24.195,0.258,0.262,0.661,0.118
24.217,0.291,0.304,0.661,0.126
24.241,0.359,0.415,0.661,0.143
24.260,-0.347,-0.392,-0.661,-0.140
24.279,0.400,0.548,0.661,0.161
24.300,0.148,0.142,0.661,0.095
24.322,-0.290,-0.303,-0.661,-0.125
24.350,-0.124,-0.118,-0.661,-0.090
24.372,-0.127,-0.121,-0.661,-0.091
24.393,-0.392,-0.503,-0.661,-0.156
24.415,-0.276,-0.285,-0.661,-0.122
24.435,0.397,0.527,0.661,0.158
24.458,0.083,0.078,0.661,0.082
24.479,0.386,0.484,0.661,0.153
24.510,-0.402,-0.573,-0.661,-0.164
24.530,0.341,0.381,0.661,0.138
24.550,0.193,0.189,0.661,0.104
24.571,-0.401,-0.552,-0.661,-0.161
24.592,-0.233,-0.233,-0.661,-0.113
24.611,-0.242,-0.243,-0.661,-0.115
24.637,-0.377,-0.456,-0.661,-0.149
24.677,-0.152,-0.146,-0.661,-0.096
24.712,0.391,0.503,0.661,0.156
24.735,0.314,0.337,0.661,0.131
24.757,0.333,0.367,0.661,0.136
24.781,-0.295,-0.310,-0.661,-0.127
24.803,0.074,0.070,0.661,0.081
24.830,0.106,0.101,0.661,0.087
24.853,0.025,0.023,0.661,0.071
24.873,0.392,0.506,0.661,0.156
24.895,0.286,0.299,0.661,0.125
24.916,-0.082,-0.077,-0.661,-0.082
24.936,0.086,0.082,0.661,0.083
24.955,-0.040,-0.038,-0.661,-0.074
24.987,-0.348,-0.394,-0.661,-0.140
25.009,-0.217,-0.215,-0.661,-0.109
25.028,0.235,0.235,0.661,0.113
25.049,-0.383,-0.474,-0.661,-0.152
25.069,0.166,0.160,0.661,0.099
25.091,0.212,0.209,0.661,0.108
25.113,0.311,0.333,0.661,0.131
25.142,-0.315,-0.338,-0.661,-0.131
25.163,0.244,0.246,0.661,0.115
25.185,0.397,0.529,0.661,0.159
25.218,0.374,0.450,0.661,0.149
25.238,-0.228,-0.227,-0.661,-0.112
25.260,-0.403,-0.591,-0.661,-0.166
25.281,-0.212,-0.209,-0.661,-0.108
25.311,0.014,0.013,0.661,0.069
25.333,-0.070,-0.066,-0.661,-0.080
25.356,0.284,0.295,0.661,0.124
25.377,-0.151,-0.145,-0.661,-0.096
25.399,-0.401,-0.560,-0.661,-0.162
25.420,-0.271,-0.278,-0.661,-0.121
25.442,-0.224,-0.222,-0.661,-0.111
25.470,-0.051,-0.048,-0.661,-0.076
25.498,-0.299,-0.315,-0.661,-0.127
25.527,-0.389,-0.493,-0.661,-0.154
25.548,-0.260,-0.264,-0.661,-0.118
25.571,-0.336,-0.372,-0.661,-0.137
25.592,-0.003,-0.003,-0.661,-0.067
25.611,-0.097,-0.092,-0.661,-0.085
25.641,0.313,0.335,0.661,0.131
25.661,-0.061,-0.057,-0.661,-0.078
25.681,-0.258,-0.262,-0.661,-0.118
25.701,0.324,0.353,0.661,0.134
25.736,-0.162,-0.156,-0.661,-0.098
25.759,-0.302,-0.319,-0.661,-0.128
25.782,-0.403,-0.578,-0.661,-0.164
25.812,0.313,0.335,0.661,0.131
25.835,0.385,0.481,0.661,0.153
25.857,0.364,0.425,0.661,0.145
25.879,0.387,0.487,0.661,0.154
25.899,-0.403,-0.575,-0.661,-0.164
25.919,0.150,0.144,0.661,0.095
25.940,0.380,0.464,0.661,0.151
25.968,0.361,0.419,0.661,0.144
25.991,0.389,0.492,0.661,0.154
26.011,-0.159,-0.153,-0.661,-0.097
26.031,-0.346,-0.389,-0.661,-0.140
26.051,0.370,0.439,0.661,0.147
26.071,-0.398,-0.536,-0.661,-0.159
26.091,0.242,0.243,0.661,0.115
26.120,-0.319,-0.345,-0.661,-0.132
26.143,-0.348,-0.394,-0.661,-0.140
26.164,-0.069,-0.064,-0.661,-0.079
26.184,0.370,0.439,0.661,0.147
26.206,0.188,0.184,0.661,0.103
26.240,0.354,0.405,0.661,0.142
26.261,-0.100,-0.095,-0.661,-0.086
26.291,0.277,0.286,0.661,0.122
26.314,-0.035,-0.033,-0.661,-0.073
26.333,-0.063,-0.060,-0.661,-0.078
26.360,-0.402,-0.570,-0.661,-0.163
26.387,-0.360,-0.417,-0.661,-0.144
26.407,0.346,0.390,0.661,0.140
26.427,-0.318,-0.344,-0.661,-0.132
26.454,-0.398,-0.535,-0.661,-0.159
26.478,-0.026,-0.025,-0.661,-0.071
26.497,-0.006,-0.005,-0.661,-0.067
26.517,0.318,0.343,0.661,0.132
26.538,-0.274,-0.283,-0.661,-0.122
26.558,-0.032,-0.030,-0.661,-0.072
26.578,0.245,0.247,0.661,0.115
26.606,0.079,0.074,0.661,0.081
26.627,-0.212,-0.210,-0.661,-0.108
26.646,0.396,0.522,0.661,0.158
26.668,0.380,0.465,0.661,0.151
26.688,-0.375,-0.452,-0.661,-0.149
26.709,-0.328,-0.359,-0.661,-0.135
26.740,0.402,0.568,0.661,0.163
26.769,-0.004,-0.003,-0.661,-0.067
26.790,0.403,0.575,0.661,0.164
26.811,-0.223,-0.222,-0.661,-0.111
26.833,-0.253,-0.257,-0.661,-0.117
26.853,-0.105,-0.099,-0.661,-0.086
26.873,0.307,0.327,0.661,0.130
26.893,-0.373,-0.447,-0.661,-0.148
26.922,-0.164,-0.158,-0.661,-0.098
26.943,-0.395,-0.519,-0.661,-0.158
26.963,0.275,0.283,0.661,0.122
26.985,0.292,0.305,0.661,0.126
27.006,0.316,0.341,0.661,0.132
27.028,-0.028,-0.026,-0.661,-0.072
27.049,-0.397,-0.528,-0.661,-0.159
27.077,-0.390,-0.497,-0.661,-0.155
27.098,-0.390,-0.498,-0.661,-0.155
27.122,-0.053,-0.050,-0.661,-0.076
27.144,-0.299,-0.315,-0.661,-0.127
27.163,0.395,0.518,0.661,0.157
27.186,0.119,0.113,0.661,0.089
27.212,0.328,0.359,0.661,0.135
27.264,-0.160,-0.154,-0.661,-0.098
27.290,0.394,0.515,0.661,0.157
27.311,0.032,0.030,0.661,0.072
27.332,-0.403,-0.578,-0.661,-0.164
27.353,0.100,0.095,0.661,0.086
27.374,0.268,0.275,0.661,0.120
27.402,0.194,0.190,0.661,0.105
27.424,0.229,0.228,0.661,0.112
27.445,0.225,0.223,0.661,0.111
27.466,-0.370,-0.439,-0.661,-0.147
27.489,0.206,0.203,0.661,0.107
27.511,0.081,0.076,0.661,0.082
27.533,0.066,0.062,0.661,0.079
27.562,0.233,0.232,0.661,0.113
27.583,-0.209,-0.205,-0.661,-0.108
27.605,-0.290,-0.303,-0.661,-0.125
27.626,-0.377,-0.458,-0.661,-0.150
27.646,0.384,0.476,0.661,0.152
27.668,0.350,0.397,0.661,0.141
27.690,0.375,0.452,0.661,0.149
27.720,-0.214,-0.212,-0.661,-0.109
27.758,0.186,0.181,0.661,0.103
27.782,-0.386,-0.484,-0.661,-0.153
27.801,0.403,0.588,0.661,0.165
27.824,0.403,0.575,0.661,0.164
27.845,0.333,0.367,0.661,0.136
27.874,0.403,0.576,0.661,0.164
27.896,0.399,0.537,0.661,0.160
27.916,-0.377,-0.457,-0.661,-0.149
27.936,0.035,0.033,0.661,0.073
27.958,0.248,0.250,0.661,0.116
27.980,0.055,0.052,0.661,0.077
28.004,-0.403,-0.590,-0.661,-0.165
28.033,-0.245,-0.247,-0.661,-0.115
28.053,0.053,0.050,0.661,0.076
28.072,-0.102,-0.097,-0.661,-0.086
28.099,-0.392,-0.503,-0.661,-0.156
28.127,-0.229,-0.228,-0.661,-0.112
28.149,-0.280,-0.290,-0.661,-0.123
28.170,-0.318,-0.343,-0.661,-0.132
28.202,0.189,0.184,0.661,0.103
28.224,0.402,0.573,0.661,0.164
28.257,0.375,0.451,0.661,0.149
28.280,0.071,0.066,0.661,0.080
28.302,0.352,0.402,0.661,0.142
28.325,-0.011,-0.010,-0.661,-0.068
28.354,-0.340,-0.379,-0.661,-0.138
28.376,-0.394,-0.511,-0.661,-0.157
28.397,0.208,0.205,0.661,0.107
28.417,-0.003,-0.003,-0.661,-0.067
28.437,-0.347,-0.392,-0.661,-0.140
28.458,0.045,0.042,0.661,0.075
28.478,0.070,0.065,0.661,0.080
28.506,0.309,0.329,0.661,0.130
28.527,-0.280,-0.290,-0.661,-0.123
28.548,-0.366,-0.431,-0.661,-0.146
28.569,0.339,0.378,0.661,0.138
28.589,0.000,0.000,-0.661,-0.066
28.609,-0.207,-0.204,-0.661,-0.107
28.630,0.230,0.230,0.661,0.112
28.658,0.044,0.041,0.661,0.075
28.680,0.086,0.081,0.661,0.083
28.700,-0.117,-0.111,-0.661,-0.089
28.718,0.388,0.490,0.661,0.154
28.739,-0.031,-0.029,-0.661,-0.072
28.772,0.017,0.016,0.661,0.069
28.793,-0.356,-0.410,-0.661,-0.143
28.822,-0.221,-0.219,-0.661,-0.110
28.844,-0.291,-0.305,-0.661,-0.126
28.863,0.375,0.452,0.661,0.149
28.882,-0.358,-0.412,-0.661,-0.143
28.902,0.179,0.173,0.661,0.101
28.923,0.350,0.398,0.661,0.141
28.944,-0.220,-0.218,-0.661,-0.110
28.977,-0.372,-0.444,-0.661,-0.148
29.004,-0.345,-0.389,-0.661,-0.140
29.025,0.004,0.004,0.661,0.067
29.044,-0.281,-0.291,-0.661,-0.123
29.065,-0.296,-0.311,-0.661,-0.127
29.085,0.345,0.388,0.661,0.139
29.105,-0.325,-0.355,-0.661,-0.134
29.134,0.118,0.112,0.661,0.089
29.156,0.286,0.298,0.661,0.124
29.176,-0.381,-0.468,-0.661,-0.151
29.195,0.138,0.132,0.661,0.093
29.213,0.289,0.301,0.661,0.125
29.235,0.374,0.449,0.661,0.148
29.256,0.351,0.398,0.661,0.141
29.298,-0.274,-0.282,-0.661,-0.122
29.321,-0.402,-0.571,-0.661,-0.163
29.342,-0.060,-0.057,-0.661,-0.078
29.365,-0.301,-0.319,-0.661,-0.128
29.389,-0.025,-0.023,-0.661,-0.071
29.410,-0.265,-0.271,-0.661,-0.120
29.437,-0.399,-0.543,-0.661,-0.160
29.458,0.229,0.229,0.661,0.112
29.477,-0.389,-0.492,-0.661,-0.154
29.494,-0.077,-0.073,-0.661,-0.081
29.516,-0.381,-0.466,-0.661,-0.151
29.537,-0.359,-0.414,-0.661,-0.143
29.558,0.315,0.339,0.661,0.132
29.579,0.403,0.584,0.661,0.165
29.609,-0.367,-0.433,-0.661,-0.146
29.629,0.399,0.537,0.661,0.160
29.649,-0.382,-0.471,-0.661,-0.151
29.669,0.345,0.388,0.661,0.139
29.688,-0.322,-0.349,-0.661,-0.133
29.708,0.138,0.132,0.661,0.093
29.728,0.081,0.077,0.661,0.082
29.748,-0.384,-0.475,-0.661,-0.152
29.776,-0.403,-0.585,-0.661,-0.165
29.811,0.113,0.107,0.661,0.088
29.831,-0.313,-0.336,-0.661,-0.131
29.861,-0.214,-0.211,-0.661,-0.109
29.888,-0.400,-0.549,-0.661,-0.161
29.910,-0.318,-0.343,-0.661,-0.132
29.939,0.208,0.205,0.661,0.107
29.959,-0.273,-0.281,-0.661,-0.121
29.980,0.206,0.203,0.661,0.107
30.002,0.369,0.436,0.661,0.147
30.022,0.095,0.089,0.661,0.085
30.044,-0.151,-0.145,-0.661,-0.096
30.064,0.019,0.018,0.661,0.070
30.092,-0.070,-0.066,-0.661,-0.080
30.112,0.369,0.438,0.661,0.147
30.133,-0.298,-0.314,-0.661,-0.127
30.152,0.151,0.145,0.661,0.096
30.174,0.310,0.332,0.661,0.130
30.194,0.015,0.014,0.661,0.069
30.218,0.397,0.525,0.661,0.158
30.247,0.148,0.142,0.661,0.095
30.268,0.370,0.440,0.661,0.147
30.291,0.360,0.416,0.661,0.144
30.324,0.391,0.499,0.661,0.155
30.346,0.381,0.469,0.661,0.151
30.365,-0.402,-0.563,-0.661,-0.163
30.385,0.347,0.392,0.661,0.140
30.413,0.395,0.519,0.661,0.158
30.434,0.368,0.434,0.661,0.146
30.456,0.178,0.173,0.661,0.101
30.476,-0.332,-0.366,-0.661,-0.136
30.496,0.397,0.530,0.661,0.159
30.519,0.196,0.191,0.661,0.105
30.538,-0.187,-0.182,-0.661,-0.103
30.568,0.400,0.549,0.661,0.161
30.588,-0.243,-0.245,-0.661,-0.115
30.608,0.012,0.011,0.661,0.068
30.628,0.231,0.231,0.661,0.112
30.648,-0.359,-0.414,-0.661,-0.143
30.671,-0.385,-0.480,-0.661,-0.153
30.695,0.104,0.098,0.661,0.086
30.723,0.295,0.310,0.661,0.127
30.751,0.317,0.342,0.661,0.132
30.778,0.089,0.084,0.661,0.083
30.799,-0.396,-0.522,-0.661,-0.158
30.833,-0.224,-0.222,-0.661,-0.111
30.856,0.177,0.172,0.661,0.101
30.885,0.399,0.542,0.661,0.160
30.907,0.403,0.590,0.661,0.165
30.929,0.397,0.529,0.661,0.159
30.949,-0.373,-0.445,-0.661,-0.148
30.969,0.015,0.014,0.661,0.069
30.989,0.116,0.110,0.661,0.089
31.012,0.283,0.294,0.661,0.124
31.041,0.252,0.256,0.661,0.117
31.063,0.268,0.275,0.661,0.120
31.083,-0.122,-0.116,-0.661,-0.090
31.102,0.297,0.312,0.661,0.127
31.123,0.144,0.138,0.661,0.094
31.144,-0.192,-0.188,-0.661,-0.104
31.166,-0.337,-0.374,-0.661,-0.137
31.194,-0.181,-0.175,-0.661,-0.102
31.214,-0.181,-0.176,-0.661,-0.102
31.234,0.159,0.153,0.661,0.097
31.253,-0.131,-0.125,-0.661,-0.092
31.276,-0.260,-0.265,-0.661,-0.119
31.295,0.235,0.235,0.661,0.113
31.315,-0.326,-0.356,-0.661,-0.134
31.346,0.397,0.526,0.661,0.158
31.376,-0.353,-0.403,-0.661,-0.142
31.409,-0.316,-0.341,-0.661,-0.132
31.430,0.287,0.299,0.661,0.125
31.449,-0.369,-0.438,-0.661,-0.147
31.468,0.380,0.464,0.661,0.151
31.488,-0.255,-0.258,-0.661,-0.117
31.509,-0.325,-0.354,-0.661,-0.134
31.554,-0.329,-0.360,-0.661,-0.135
