Time, SinWave, TriWave, SquareWave, TotalAmplitude
3.619,0.347,0.392,0.661,0.140
3.641,0.139,0.133,0.661,0.093
3.664,0.085,0.080,0.661,0.083
3.685,0.358,0.413,0.661,0.143
3.706,0.265,0.270,0.661,0.120
3.736,-0.118,-0.112,-0.661,-0.089
3.759,-0.375,-0.452,-0.661,-0.149
3.781,-0.260,-0.265,-0.661,-0.119
3.803,-0.198,-0.194,-0.661,-0.105
3.824,0.398,0.534,0.661,0.159
3.846,0.400,0.546,0.661,0.161
3.869,-0.010,-0.009,-0.661,-0.068
3.898,-0.393,-0.509,-0.661,-0.156
3.921,-0.403,-0.577,-0.661,-0.164
3.942,-0.294,-0.309,-0.661,-0.126
3.963,0.403,0.582,0.661,0.165
3.984,0.339,0.378,0.661,0.138
4.004,-0.399,-0.540,-0.661,-0.160
4.026,-0.364,-0.425,-0.661,-0.145
4.055,-0.369,-0.437,-0.661,-0.147
4.078,0.254,0.258,0.661,0.117
4.101,0.394,0.514,0.661,0.157
4.136,-0.010,-0.010,-0.661,-0.068
4.158,0.281,0.291,0.661,0.123
4.180,0.246,0.248,0.661,0.116
4.210,-0.394,-0.513,-0.661,-0.157
4.252,0.316,0.340,0.661,0.132
4.280,0.131,0.125,0.661,0.092
4.313,0.304,0.323,0.661,0.129
4.348,-0.400,-0.544,-0.661,-0.160
4.380,0.354,0.404,0.661,0.142
4.403,0.075,0.070,0.661,0.081
4.422,0.117,0.111,0.661,0.089
4.443,-0.332,-0.366,-0.661,-0.136
4.466,-0.175,-0.170,-0.661,-0.101
4.490,0.318,0.343,0.661,0.132
4.514,0.143,0.137,0.661,0.094
4.544,-0.343,-0.385,-0.661,-0.139
4.564,-0.230,-0.229,-0.661,-0.112
4.588,-0.403,-0.588,-0.661,-0.165
4.614,-0.172,-0.167,-0.661,-0.100
4.649,-0.291,-0.305,-0.661,-0.126
4.672,0.111,0.106,0.661,0.088
4.703,0.006,0.005,0.661,0.067
4.725,-0.050,-0.047,-0.661,-0.076
4.748,-0.385,-0.480,-0.661,-0.153
4.773,0.240,0.241,0.661,0.114
4.793,-0.362,-0.421,-0.661,-0.144
4.815,-0.403,-0.580,-0.661,-0.164
4.837,-0.192,-0.188,-0.661,-0.104
4.865,-0.393,-0.507,-0.661,-0.156
4.886,0.021,0.020,0.661,0.070
4.905,-0.067,-0.063,-0.661,-0.079
4.929,0.354,0.405,0.661,0.142
4.950,-0.045,-0.042,-0.661,-0.075
4.969,0.124,0.118,0.661,0.090
4.989,0.024,0.023,0.661,0.071
5.017,0.256,0.260,0.661,0.118
5.037,-0.327,-0.358,-0.661,-0.135
5.058,-0.028,-0.026,-0.661,-0.071
5.078,0.068,0.064,0.661,0.079
5.097,0.203,0.200,0.661,0.106
5.117,0.151,0.145,0.661,0.096
5.151,0.377,0.457,0.661,0.150
5.182,-0.401,-0.552,-0.661,-0.161
5.202,0.201,0.197,0.661,0.106
5.222,-0.008,-0.008,-0.661,-0.068
5.244,-0.257,-0.261,-0.661,-0.118
5.270,-0.367,-0.433,-0.661,-0.146
5.300,-0.133,-0.126,-0.661,-0.092
5.321,-0.402,-0.568,-0.661,-0.163
5.351,0.252,0.255,0.661,0.117
5.372,-0.166,-0.161,-0.661,-0.099
5.395,0.044,0.042,0.661,0.075
5.414,-0.128,-0.122,-0.661,-0.091
5.435,0.375,0.452,0.661,0.149
5.455,-0.358,-0.414,-0.661,-0.143
5.477,-0.283,-0.294,-0.661,-0.124
5.505,-0.239,-0.240,-0.661,-0.114
5.528,-0.056,-0.053,-0.661,-0.077
5.547,-0.118,-0.112,-0.661,-0.089
5.569,0.030,0.028,0.661,0.072
5.588,-0.373,-0.446,-0.661,-0.148
5.607,0.372,0.444,0.661,0.148
5.629,0.305,0.324,0.661,0.129
5.671,-0.403,-0.591,-0.661,-0.166
5.692,-0.284,-0.295,-0.661,-0.124
5.711,0.134,0.128,0.661,0.092
5.732,-0.383,-0.475,-0.661,-0.152
5.754,-0.391,-0.500,-0.661,-0.155
5.775,0.076,0.072,0.661,0.081
5.795,0.305,0.324,0.661,0.129
5.822,-0.278,-0.288,-0.661,-0.123
5.844,-0.336,-0.373,-0.661,-0.137
5.863,0.384,0.475,0.661,0.152
5.884,0.131,0.125,0.661,0.092
5.904,-0.300,-0.316,-0.661,-0.128
5.923,0.361,0.419,0.661,0.144
5.943,-0.402,-0.567,-0.661,-0.163
5.964,0.133,0.127,0.661,0.092
5.997,0.219,0.217,0.661,0.110
6.017,0.162,0.156,0.661,0.098
6.037,-0.351,-0.399,-0.661,-0.141
6.058,0.231,0.231,0.661,0.112
6.079,0.329,0.361,0.661,0.135
6.100,0.050,0.047,0.661,0.076
6.121,-0.344,-0.386,-0.661,-0.139
6.151,0.401,0.556,0.661,0.162
6.186,0.086,0.081,0.661,0.083
6.217,0.078,0.073,0.661,0.081
6.247,0.211,0.208,0.661,0.108
6.269,0.071,0.067,0.661,0.080
6.291,0.357,0.410,0.661,0.143
6.320,-0.261,-0.266,-0.661,-0.119
6.342,-0.254,-0.258,-0.661,-0.117
6.363,0.332,0.365,0.661,0.136
6.387,-0.272,-0.279,-0.661,-0.121
6.407,0.397,0.528,0.661,0.159
6.427,-0.317,-0.342,-0.661,-0.132
6.449,-0.373,-0.447,-0.661,-0.148
6.479,0.388,0.489,0.661,0.154
6.502,0.169,0.164,0.661,0.099
6.522,0.004,0.003,0.661,0.067
6.544,-0.104,-0.098,-0.661,-0.086
6.618,0.338,0.376,0.661,0.138
6.662,0.327,0.358,0.661,0.135
6.711,-0.230,-0.229,-0.661,-0.112
6.738,-0.183,-0.178,-0.661,-0.102
6.767,0.306,0.325,0.661,0.129
6.797,0.206,0.202,0.661,0.107
6.833,-0.154,-0.148,-0.661,-0.096
6.862,0.364,0.426,0.661,0.145
6.891,0.366,0.430,0.661,0.146
6.918,0.400,0.548,0.661,0.161
6.948,-0.310,-0.331,-0.661,-0.130
6.985,0.398,0.533,0.661,0.159
7.015,-0.324,-0.353,-0.661,-0.134
7.043,-0.369,-0.436,-0.661,-0.147
7.073,0.175,0.170,0.661,0.101
7.101,0.402,0.564,0.661,0.163
7.137,-0.367,-0.433,-0.661,-0.146
7.173,0.265,0.271,0.661,0.120
7.220,-0.067,-0.063,-0.661,-0.079
7.247,-0.116,-0.111,-0.661,-0.089
7.278,-0.091,-0.086,-0.661,-0.084
7.314,-0.184,-0.179,-0.661,-0.102
7.342,-0.255,-0.259,-0.661,-0.118
7.370,-0.081,-0.076,-0.661,-0.082
7.397,0.278,0.288,0.661,0.123
7.428,0.171,0.165,0.661,0.100
7.462,0.331,0.364,0.661,0.136
7.493,-0.399,-0.538,-0.661,-0.160
7.522,-0.244,-0.246,-0.661,-0.115
7.550,0.150,0.144,0.661,0.096
7.578,0.216,0.213,0.661,0.109
